Age,Time_in_Art,Time_in_History
56,132,190
35,148,41
34,107,142
105,130,53
101,116,70
27,123,106
105,126,38
98,109,61
59,176,125
33,123,159
101,139,76
40,91,172
108,105,15
35,113,163
32,140,134
45,137,117
34,141,79
103,111,24
60,159,96
39,117,131
27,79,131
90,104,30
63,169,138
107,117,60
50,138,107
33,146,111
82,92,21
54,91,101
54,133,81
44,168,170
105,157,15
42,127,130
84,155,15
121,122,17
22,116,145
121,120,66
66,120,118
29,157,139
36,92,150
50,116,145
45,165,141
47,134,104
92,78,15
45,162,63
55,159,175
49,83,156
111,132,70
40,110,153
106,102,66
31,136,134
54,152,106
66,169,125
49,85,108
33,138,92
42,149,63
48,109,81
124,42,19
38,122,161
116,116,34
89,80,68
112,145,43
24,177,140
29,113,205
128,115,77
41,62,130
27,120,135
35,120,126
31,184,124
100,132,78
44,129,159
32,158,76
70,121,68
44,165,130
45,156,90
101,96,84
44,198,110
77,113,48
33,124,103
130,124,58
109,112,86
127,140,17
28,121,136
46,167,122
133,132,106
48,126,179
62,93,156
51,139,111
49,187,97
51,88,119
53,111,169
54,106,143
94,112,53
140,92,10
55,163,132
119,173,74
106,134,10
44,135,78
40,136,100
42,138,118
35,152,99
66,144,69
43,114,75
50,167,141
54,136,108
121,124,35
39,182,58
117,117,78
45,175,127
125,116,45
63,157,70
42,164,103
106,179,39
106,79,74
109,85,33
103,67,35
41,165,146
54,97,98
28,180,85
131,120,48
39,166,72
33,152,67
112,120,70
47,111,186
114,101,25
57,162,91
33,133,57
38,114,135
75,116,144
115,140,7
58,120,102
112,123,58
53,127,165
42,87,112
33,111,85
52,120,193
132,122,30
95,126,5
41,79,216
48,89,96
44,109,126
85,105,60
45,115,134
57,124,163
35,67,152
108,104,24
33,169,88
41,127,125
111,111,35
106,112,105
39,85,119
27,122,127
34,122,167
46,133,44
39,148,82
101,102,43
105,127,73
29,105,125
47,162,84
31,70,111
67,172,137
33,71,107
22,96,123
40,104,109
76,135,27
31,141,100
32,104,175
108,160,63
36,94,151
40,102,106
33,94,172
27,121,129
31,187,139
24,109,140
39,137,162
55,150,134
59,86,126
40,158,79
59,128,210
32,170,122
27,113,71
135,108,75
123,96,23
59,116,95
62,163,136
70,128,148
53,89,123
130,148,30
22,96,147
43,158,60
94,80,80
58,147,83
108,123,25
29,58,196
52,133,212
42,136,151
46,115,135
54,125,114
102,129,67
36,142,86
37,172,104
48,150,37
118,99,15
32,135,79
43,101,116
69,166,136
128,138,41
51,172,71
96,113,21
125,151,44
112,134,84
106,122,43
44,159,151
53,116,137
99,86,44
25,142,84
126,138,77
41,91,128
101,102,41
59,134,119
40,119,118
44,51,191
36,124,161
53,145,91
134,80,19
35,107,176
68,170,92
131,102,86
97,177,61
128,112,43
75,120,161
146,141,55
58,137,114
31,145,148
105,88,63
21,90,197
89,144,32
45,133,53
47,78,146
64,92,165
100,121,82
101,129,57
35,149,184
24,125,137
122,133,17
58,159,134
107,138,64
100,136,47
125,83,59
55,122,93
34,124,75
35,147,111
23,102,120
110,123,123
41,124,152
30,146,94
68,149,72
118,146,94
117,139,34
32,123,50
34,128,101
55,123,95
36,165,125
97,89,90
96,123,59
33,124,167
137,105,77
117,132,27
23,153,199
26,131,161
115,91,48
35,95,104
41,152,139
59,136,96
23,129,59
105,126,33
44,79,133
58,138,145
28,134,148
111,101,115
57,163,74
72,118,78
56,129,34
124,112,39
51,156,133
37,207,101
29,131,84
70,111,96
59,177,97
49,137,136
54,167,107
96,99,52
101,132,13
20,156,114
125,90,102
90,128,85
23,95,177
58,91,140
126,96,66
121,86,38
67,116,113
